GHI
0
0
0
0
0
0
0
0
106
227
287
353
351
315
231
83
11
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
112
242
321
384
405
285
232
147
25
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
5
10
180
65
51
231
32
6
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
108
144
355
336
360
175
195
191
30
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
139
291
380
321
112
321
60
31
5
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
155
312
433
384
418
295
32
138
24
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
76
227
350
426
395
270
206
3
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
152
309
428
386
260
104
117
82
15
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
115
195
204
213
388
167
127
81
16
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
131
265
275
398
505
453
349
113
23
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
15
22
25
124
157
454
350
205
44
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
26
103
174
151
262
302
375
219
50
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
57
271
391
526
439
331
257
148
52
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
162
327
453
524
534
481
154
166
38
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
164
30
285
458
535
483
373
220
54
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
168
333
461
534
546
496
388
234
61
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
112
335
461
532
544
493
385
232
63
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
178
205
373
538
547
496
387
156
53
0
0
0
0
0
0
0
0
0
0
0
0
0
0
15
175
342
470
544
555
504
396
243
71
0
0
0
0
0
0
0
0
0
0
0
0
0
0
17
185
356
486
560
572
522
411
256
78
0
0
0
0
0
0
0
0
0
0
0
0
0
0
19
190
364
496
571
582
528
279
73
30
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
12
17
219
415
272
413
280
17
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
3
238
61
79
97
42
17
10
5
0
0
0
0
0
0
0
0
0
0
0
0
0
0
4
41
238
391
489
499
400
282
170
80
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
13
47
82
192
94
72
83
42
46
0
0
0
0
0
0
0
0
0
0
0
0
0
0
15
131
313
243
503
309
257
215
111
30
0
0
0
0
0
0
0
0
0
0
0
0
0
0
24
196
374
512
595
615
568
458
296
107
0
0
0
0
0
0
0
0
0
0
0
0
0
0
27
199
375
511
513
527
556
445
285
102
0
0
0
0
0
0
0
0
0
0
0
0
0
0
28
199
371
503
576
591
543
436
282
104
0
0
0
0
0
0
0
0
0
0
0
0
0
0
31
202
371
502
579
594
547
442
289
110
0
0
0
0
0
0
0
0
0
0
0
0
0
0
35
214
388
521
598
612
310
114
33
23
0
0
0
0
0
0
0
0
0
0
0
0
0
0
27
179
369
506
588
607
561
454
298
116
0
0
0
0
0
0
0
0
0
0
0
0
0
0
32
181
334
440
332
493
168
351
184
73
0
0
0
0
0
0
0
0
0
0
0
0
0
0
39
211
380
511
586
602
555
452
300
121
0
0
0
0
0
0
0
0
0
0
0
0
0
0
46
231
409
545
623
638
589
479
320
133
0
0
0
0
0
0
0
0
0
0
0
0
0
0
26
156
409
544
622
636
586
477
319
58
0
0
0
0
0
0
0
0
0
0
0
0
0
0
47
225
392
523
607
624
452
383
250
135
0
0
0
0
0
0
0
0
0
0
0
0
0
0
47
221
389
412
497
491
456
293
226
68
0
0
0
0
0
0
0
0
0
0
0
0
0
0
29
147
316
427
412
478
441
271
191
77
0
0
0
0
0
0
0
0
0
0
0
0
0
0
28
178
321
457
628
644
597
488
332
147
0
0
0
0
0
0
0
0
0
0
0
0
0
0
53
209
329
458
544
493
343
197
24
45
0
0
0
0
0
0
0
0
0
0
0
0
0
0
28
252
282
571
650
497
484
388
248
117
0
0
0
0
0
0
0
0
0
0
0
0
0
0
65
253
431
568
645
662
613
502
341
152
0
0
0
0
0
0
0
0
0
0
0
0
0
0
16
128
100
287
375
279
380
226
114
22
0
0
0
0
0
0
0
0
0
0
0
0
0
0
25
165
136
279
264
349
188
47
97
11
0
0
0
0
0
0
0
0
0
0
0
0
0
0
51
274
452
586
664
679
631
